Verlag;V1;V2;V3;V4;V5;V6;V7;V3;V8;V6;V9;V10;V6;V3;V11;V12;V13;V14;V3;V3;V15;V15;V16;V17;V2;V6;V4;V3;V18;V3;V3;V3;V19;V3;V20;V12;V21;V3;V4;V6;V3;V2;V3;V22;V6;V3;V2;V3;V23;Anzahl Aussagen;
Abbildungsprüfungen;;;;;126,05 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Covergestaltung;172,71 €;151,26 €;;;420,17 €;50,00 €;;;;;;;50,00 €;;;;;;;;;;;;200,00 €;50,00 €;;;800,00 €;;;;400,00 €;;600,00 €;;;;;;;200,00 €;;;50,00 €;;;;;9;
Redaktion/Cover;;;;;;;;;;;;;;;;;;;;;;;512,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Lizenzen;;;;;;;;;;;;;;;;;;;;;1.008,40 €;1.008,40 €;;100,00 €;;;;;250,00 €;;;;;;;;;;;;;;;;;;;;;4;
Notiz Lizenzen;;;;;;;;;;;;;;;;;;;;;Open-Access-Lizenz;Open-Access-Lizenz;;Einfügen von OA-Hinweisen in allen Buchversionen;;;;;Abbildungsrechte Innenteil zur Veröffentlichung;;;;;;;;;;;;;;;;;;;;;;
Vertriebskosten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vertrieb;230,28 €;;;;588,24 €;;;;;;850,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300,00 €;3;
Notiz Vertrieb;;;;;;;;;;;DOI-Registrierung, Aufbereitung und zusätzliche Lieferung von Metdadaten an Crossref, Meldung, Lieferung a digitale Vertriebskanäle, Hosting, Indizierung und Langzeitarchivierung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Werbung, Marketing, Vertrieb;;
Digitaler Vertrieb;287,85 €;;;1.300,00 €;;1.500,00 €;1.000,00 €;1.300,00 €;;2.650,00 €;;750,00 €;1.500,00 €;1.300,00 €;1.000,00 €;3.080,00 €;;;1.300,00 €;1.300,00 €;;;;200,00 €;;2.000,00 €;1.150,00 €;1.300,00 €;400,00 €;;1.300,00 €;1.200,00 €;;1.300,00 €;;;;1.300,00 €;;;1.300,00 €;;1.300,00 €;;2.000,00 €;1.300,00 €;;1.300,00 €;;20;
Notiz Digitaler Vertrieb;;;;PDF-Erstellung, DOI-Vergabe, Metadaten-Handling, Upload auf Repositorien;;Digitale Aufbereitung eBook, Verbreitung und OA-Vetriebsstrukturen;Vorbereitung/Management von OA-Verkaufsstrukturen;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;Digitale Aufbereitung, Verbreitung und OA-Vertriebsstrukturen;;;Digitale Aufbereitung eBook, Verbreitung und OA-Vertriebsstrukturen;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;Digitale Aufbereitung und Management der OA-Vetriebsstrukturen;Datenanreicherung nach Standard Silber;;;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;;;Meldung/Upload an geeignete Repositorien/Datenbanken einschließlich Bereitstellung umfangreicher Metadaten;;Digitale Aufbereitung, Verbreitung und OA-Vertriebsstrukturen;PDF-Erstellung, DOI-Vergabe, Metadaten-Handling, Upload auf Repositorien;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;PDF/Datenoptimierung, Datenbereitstellung für Open Access Publikation, Metadaten;;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;;;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;Digitale Aufbereitung, Verbreitung und OA-Vertriebsstrukturen;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;;
